date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact
2021-05-15 21:00:00,2021,19,21,15,621,0.0,0.0,908.8597444757899,0.5352523251514191,0.021142720731161812,0.4264100940350037,0.3540024501555866
2021-05-15 22:00:00,2021,19,22,15,622,0.0,0.0,973.0608231590437,0.3180269310985684,0.0311649745431849,0.25062693961644716,0.3540024501555866
2021-05-15 23:00:00,2021,19,23,15,623,0.0,0.0,337.3177569011046,0.10277089452794405,0.014443727191955693,0.07825433307669658,0.3540024501555866
2021-05-16 12:00:00,2021,19,12,16,712,0.0,0.0,210.13958741638402,0.5416429245647567,0.027632256282845876,0.39390655744109004,0.3540024501555866
2021-05-16 13:00:00,2021,19,13,16,713,0.0,0.0,330.41024075612376,0.4644147619970768,0.0673415057799195,0.3549879116527759,0.3540024501555866
2021-05-16 14:00:00,2021,19,14,16,714,0.0,0.0,353.41926194363066,0.40218158813916427,0.07713654524963807,0.3058685107790685,0.3540024501555866
2021-05-16 15:00:00,2021,19,15,16,715,0.0,0.0,312.98269183062416,0.32381057056117174,0.10425763619864857,0.26641681448054644,0.3540024501555866
2021-05-16 16:00:00,2021,19,16,16,716,0.0,0.0,498.4951544169956,0.35127711450617544,0.1091299681644039,0.29116424557308507,0.3540024501555866
2021-05-16 17:00:00,2021,19,17,16,717,0.0,0.0,424.70836339184046,0.38162938994784384,0.11680432217885034,0.3201083298198296,0.3540024501555866
2021-05-16 18:00:00,2021,19,18,16,718,0.0,0.0,582.7293451724862,0.4040616358791208,0.1268954699030029,0.34203947084007663,0.3540024501555866
2021-05-16 19:00:00,2021,19,19,16,719,0.0,0.0,653.8471278817034,0.3933859087467457,0.1089759037060081,0.33080473557127693,0.3540024501555866
2021-05-16 20:00:00,2021,19,20,16,720,0.0,0.0,645.1828337729467,0.3888794168542776,0.08620407981968975,0.3230062742183655,0.3540024501555866
2021-05-16 21:00:00,2021,19,21,16,721,0.0,0.0,542.4727128019587,0.40557127602155696,0.04645413413752263,0.3120039059075124,0.3540024501555866
2021-05-17 12:00:00,2021,20,12,17,112,0.0,0.0,499.00942661662384,0.6756237309225642,0.05157381777187217,0.4515453544356499,0.430786367694867
2021-05-17 13:00:00,2021,20,13,17,113,0.0,0.0,276.9086462631124,0.6068423682008826,0.05808815206730753,0.42258824370442466,0.430786367694867
2021-05-17 14:00:00,2021,20,14,17,114,0.0,0.0,277.7509622910857,0.5380610054792004,0.06460248636274298,0.3928251912711485,0.430786367694867
