date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,yhat
2019-11-28 12:00:00,2019,48,12,28,412,2985.7457001492185,0.0,485.44657679351263,0.5527944830299238,0.0962071293170645,0.35448106174265,1.0,769.1596638655462
2019-11-28 13:00:00,2019,48,13,28,413,2985.7457001492185,0.0,351.668534859387,0.4416611739101201,0.0971767831983893,0.2626254625038248,1.0,331.218487394958
2019-11-28 14:00:00,2019,48,14,28,414,2985.7457001492185,0.0,140.587866472664,0.3297949972090144,0.1003175939459408,0.1643848740859476,1.0,195.86075551716013
2019-11-28 15:00:00,2019,48,15,28,415,2985.7457001492185,10.46218487394958,81.14878267168554,0.2076225640878,0.108425265520388,0.0628974599847595,1.0,78.78151260504202
2019-11-28 16:00:00,2019,48,16,28,416,2985.7457001492185,118.4873949579832,186.29949137524108,0.3346658789730006,0.0985035835873731,0.1487294228964296,1.0,288.7968271420718
2019-11-28 17:00:00,2019,48,17,28,417,2985.7457001492185,325.01335113484646,450.83134212270846,0.4564951723893833,0.0826610048672455,0.2340345907055631,1.0,376.279745543077
2019-11-28 18:00:00,2019,48,18,28,418,2985.7457001492185,356.0347129506008,429.7279767267372,0.5768123677135897,0.072641214704616,0.3127652194972656,1.0,437.6050420168068
2019-11-28 19:00:00,2019,48,19,28,419,2985.7457001492185,590.8195240713108,652.5360693703134,0.5044952836253561,0.0788011173910208,0.254092841101931,1.0,1151.9469096049636
2019-11-28 20:00:00,2019,48,20,28,420,2985.7457001492185,991.0209691353176,688.6458053881248,0.4380011960517634,0.0835167041433092,0.1981279377606291,1.0,816.9080342417341
2019-11-28 21:00:00,2019,48,21,28,421,2985.7457001492185,593.9075630252102,546.8784381779423,0.3671198171116697,0.0842771085266211,0.1395604304223486,1.0,1018.0958925626326
2019-11-28 22:00:00,2019,48,22,28,422,2985.7457001492185,0.0,177.08086616600465,0.4315168716895119,0.0805339995499224,0.193130165373326,1.0,395.89915966386553
2019-11-29 12:00:00,2019,48,12,29,512,6810.392209220137,397.22453467368257,522.1430449091428,0.6068880969007774,0.0482770639110884,0.3512565880859614,1.0,652.9769103903244
2019-11-29 13:00:00,2019,48,13,29,513,6810.392209220137,470.2246132097699,381.2292276360262,0.6057573511239893,0.0291919228709392,0.3476474517471425,1.0,876.3017356475301
2019-11-29 14:00:00,2019,48,14,29,514,6810.392209220137,197.8991596638656,356.177535369052,0.6091692957528356,0.0064830420363669,0.3448502397045753,1.0,599.0756302521008
2019-11-29 15:00:00,2019,48,15,29,515,6810.392209220137,193.62915259561768,269.9123988259735,0.5988261051231251,-0.0058677466622967,0.3301318527726442,1.0,794.1726223199561
2019-11-29 16:00:00,2019,48,16,29,516,6810.392209220137,397.80373831775705,304.66042065542933,0.4141770481818201,-0.0104456590099905,0.174487692350107,1.0,510.2411057881096
2019-11-29 17:00:00,2019,48,17,29,517,6810.392209220137,506.1450561533025,596.872377564068,0.2295158820069904,-0.0085265888655983,0.0167159629031025,1.0,515.4433362129898
2019-11-29 18:00:00,2019,48,18,29,518,6810.392209220137,910.0215974240164,871.5607332355139,0.0362623194729344,-0.0165228434402523,-0.1479475112115885,1.0,1333.69590826985
2019-11-29 19:00:00,2019,48,19,29,519,6810.392209220137,1175.7598366449383,1007.3854320352522,-0.0468547411838854,-0.03194648882536,-0.2084609040104563,1.0,753.7065106416399
2019-11-29 20:00:00,2019,48,20,29,520,6810.392209220137,916.5872143249824,922.8058811684732,-0.1659438937331111,-0.0289580969522555,-0.2784271804997987,1.0,1190.1904500117805
2019-11-29 21:00:00,2019,48,21,29,521,6810.392209220137,1011.8059373282024,844.4926677647555,-0.2596295902298641,-0.03698768452493,-0.3481564810058051,1.0,1025.6600172779392
2019-11-29 22:00:00,2019,48,22,29,522,6810.392209220137,608.3754024974477,617.6924369074169,-0.1677558109193139,-0.0207651455533576,-0.2840003594620492,1.0,553.0216759601037
2019-11-29 23:00:00,2019,48,23,29,523,6810.392209220137,24.915966386554626,140.65396799559153,-0.0727629371177446,-0.0092638305652016,-0.2172212203527539,1.0,228.65546218487395
2019-11-30 12:00:00,2019,48,12,30,612,8656.725280766514,367.8151260504202,345.6034150968717,-0.2222164879754641,-0.2241776978118128,-0.2093299281789718,1.0,520.7331343752454
2019-11-30 13:00:00,2019,48,13,30,613,8656.725280766514,745.8788188172466,646.4059218076691,-0.3113838234453833,-0.242998959026304,-0.2784763254222816,1.0,1042.1903714756932
2019-11-30 14:00:00,2019,48,14,30,614,8656.725280766514,928.4453781512606,669.6385604680584,-0.39412022314049,-0.2734172307433575,-0.3420328226937081,1.0,845.7433440665986
2019-11-30 15:00:00,2019,48,15,30,615,8656.725280766514,334.2146391266787,570.633014994487,-0.4827375562878023,-0.2967222446706832,-0.4078317565373791,1.0,1029.6638655462186
2019-11-30 16:00:00,2019,48,16,30,616,8656.725280766514,466.2605042016807,715.6076172221835,-0.4688666465805916,-0.3103707368023949,-0.4099131046528139,1.0,692.6435246995995
2019-11-30 17:00:00,2019,48,17,30,617,8656.725280766514,777.0517552815519,813.5623552939522,-0.456489378959085,-0.3129507887754024,-0.4115525354430867,1.0,966.5856436032358
2019-11-30 18:00:00,2019,48,18,30,618,8656.725280766514,990.0801068090788,883.0760954276607,-0.4394993747608547,-0.3313205048905304,-0.4108487382109375,1.0,926.0586664572372
2019-11-30 19:00:00,2019,48,19,30,619,8656.725280766514,952.3427314851176,996.761202976759,-0.3811234961592167,-0.3500046620798288,-0.3668739549243945,1.0,1132.702034084662
2019-11-30 20:00:00,2019,48,20,30,620,8656.725280766514,1191.7874813476792,974.2640416150912,-0.3202755297137846,-0.3642360451251697,-0.3201486854881294,1.0,941.6394408230582
2019-11-30 21:00:00,2019,48,21,30,621,8656.725280766514,1006.3613445378152,1122.91799400044,-0.2573884672101668,-0.3737709640904891,-0.2693434263067988,1.0,655.0840336134454
2019-11-30 22:00:00,2019,48,22,30,622,8656.725280766514,663.5714285714287,841.8175519229696,-0.1388240949445791,-0.3894854497251841,-0.1755823628816154,1.0,731.2506086546769
2019-11-30 23:00:00,2019,48,23,30,623,8656.725280766514,232.91596638655463,266.5447969602075,-0.0224746583380056,-0.396148805365515,-0.0821384041619862,1.0,1013.0252100840336
2019-12-01 12:00:00,2019,48,12,1,712,4463.016178433991,109.00612581481192,111.79405702245168,0.3924465034188213,-0.3320382005713291,0.3019369614547595,1.0,237.5104060315715
2019-12-01 13:00:00,2019,48,13,1,713,4463.016178433991,320.92751119139245,277.11605751010165,0.2068478388200967,-0.3462628366940794,0.1545182630888966,1.0,369.524463991204
2019-12-01 14:00:00,2019,48,14,1,714,4463.016178433991,367.47899159663865,260.8567939317924,0.0084777119559491,-0.3505392675021185,1.3467310959379213e-05,1.0,183.8235294117647
2019-12-01 15:00:00,2019,48,15,1,715,4463.016178433991,348.7257519830362,200.0103418958446,-0.1771209526427756,-0.3647639036248689,-0.1472322061221179,1.0,244.6371632765256
2019-12-01 16:00:00,2019,48,16,1,716,4463.016178433991,433.6201209455745,620.7892262403985,-0.0620172215839616,-0.3859718091832799,-0.0647957237632924,1.0,484.9304955627111
2019-12-01 17:00:00,2019,48,17,1,717,4463.016178433991,611.8373517631352,667.5662349929484,0.0605106906221561,-0.4313586651268337,0.0249689334382805,1.0,383.0389538993168
2019-12-01 18:00:00,2019,48,18,1,718,4463.016178433991,847.8261211026467,568.7523619715821,0.1717066286890364,-0.4516198465261092,0.1040329635520051,1.0,482.2653734390952
2019-12-01 19:00:00,2019,48,19,1,719,4463.016178433991,640.5854865310611,589.5142177466615,0.0735282042967756,-0.4635530207215562,0.0345864418023891,1.0,468.587135788895
2019-12-01 20:00:00,2019,48,20,1,720,4463.016178433991,354.56333935443337,691.855005888147,-0.0142765587477718,-0.4786958660839586,-0.0313238231234991,1.0,280.0965993874185
2019-12-01 21:00:00,2019,48,21,1,721,4463.016178433991,428.4453781512605,369.8655607479241,-0.1146883748055189,-0.4868235618862479,-0.1069363868774416,1.0,223.87418518809395
2019-12-02 12:00:00,2019,49,12,2,112,4015.895232859499,605.9663865546219,630.470110711126,-0.345520412127982,0.2240245179065844,-0.4354934465296063,1.0,354.70627503337784
2019-12-02 13:00:00,2019,49,13,2,113,4015.895232859499,270.29411764705884,295.6203877925315,-0.0679667715946369,0.1736210556331408,-0.2213853860856569,1.0,403.61344537815125
2019-12-02 14:00:00,2019,49,14,2,114,4015.895232859499,174.03361344537817,202.9537284342644,0.2056954259352944,0.1410245676661574,-0.0104732232789821,1.0,283.11199246053565
2019-12-02 15:00:00,2019,49,15,2,115,4015.895232859499,211.218487394958,186.93461247862425,0.4808512655509303,0.09735963954047,0.2008662567941664,1.0,123.12455823450875
2019-12-02 16:00:00,2019,49,16,2,116,4015.895232859499,106.7308568287128,118.0574120229672,0.2316744014757168,0.0789379585355505,0.0010569323615703,1.0,163.73949579831933
