date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,revenue
2022-09-27 16:00:00,2022,39,16,27,216,115.17,57.68381258171305,0.1861725580401456,0.1570573689162024,-0.3892283333202118,96.01
2022-09-27 17:00:00,2022,39,17,27,217,156.43,78.34885651220596,-0.125248076090493,0.1533979091927084,-0.0913051815563021,47.96
2022-09-27 18:00:00,2022,39,18,27,218,256.75,128.59411715503242,-0.1336951380249271,0.2848297902187636,-0.0822344315794591,11.869999999999996
2022-09-27 19:00:00,2022,39,19,27,219,91.15,45.652583426995584,0.0895144437141028,0.1522221828931723,-0.0896124256374069,129.72
2022-09-27 20:00:00,2022,39,20,27,220,216.54,108.45382165260592,0.2569892765389245,-0.0026350261248123,-0.0797283102761282,119.24
2022-09-27 21:00:00,2022,39,21,27,221,57.900000000000006,28.99902112060213,0.4818361908731277,-0.1445522884884775,-0.0796504163311477,0.0
2022-09-28 12:00:00,2022,39,12,28,312,23.74,35.29545202864924,0.0366802043163707,0.3030801471665237,-0.3807887043829366,84.99000000000001
2022-09-28 13:00:00,2022,39,13,28,313,87.25,93.45952348120012,-0.0084185093107472,0.290344040331312,-0.3295685839954641,72.43
2022-09-28 14:00:00,2022,39,14,28,314,144.06,138.7439452407292,-0.006153032649724,0.3088039671290066,-0.3191800982390554,13.34
2022-09-28 15:00:00,2022,39,15,28,315,273.09,221.5664673161023,0.1027782506225807,0.3666044658687688,-0.4008467362456454,79.78
2022-09-28 16:00:00,2022,39,16,28,316,158.47,120.51852120167376,-0.0549095412664301,0.2620845691161755,-0.2084896141084555,21.04
2022-09-28 17:00:00,2022,39,17,28,317,119.77,154.98122202059355,0.0567218810867901,0.2737557959599042,-0.2536241183134743,113.94
2022-09-28 18:00:00,2022,39,18,28,318,155.69,170.99951184808032,0.1780588134927984,0.2866445321414847,-0.3111287138486802,318.87
2022-09-28 19:00:00,2022,39,19,28,319,91.16,164.44830995354545,0.3648182282728551,0.3286639776952617,-0.3487319864079586,97.4
2022-09-28 20:00:00,2022,39,20,28,320,260.69,212.1004648743697,0.5019599467479838,0.3971935395687824,-0.3789909158457416,4.67
2022-09-28 21:00:00,2022,39,21,28,321,155.37,108.66713478261948,0.6949391788020249,0.4511470342994387,-0.4169676973267585,55.99
2022-09-29 12:00:00,2022,39,12,29,412,51.96,26.0227242190739,0.3591259553485051,0.3673497753306327,-0.6533990249088163,66.73
2022-09-29 13:00:00,2022,39,13,29,413,42.45,90.3013882882762,0.4591972807000857,0.3759230665414162,-0.6431163176073044,30.11
2022-09-29 14:00:00,2022,39,14,29,414,109.62,172.50197047717342,0.6101826036063657,0.4032265855508947,-0.628801608093749,60.9
2022-09-29 15:00:00,2022,39,15,29,415,20.25,84.56490310149096,0.7087887973438863,0.4193232206223226,-0.5977313248892856,82.97
2022-09-29 16:00:00,2022,39,16,29,416,114.57,84.39417903555727,0.7192112204955395,0.395875738188373,-0.5570441838112927,122.05
2022-09-29 17:00:00,2022,39,17,29,417,229.68,197.41244806416705,0.7277446590259707,0.3671787286135057,-0.4942860247548229,53.55
2022-09-29 18:00:00,2022,39,18,29,418,246.43,182.39880003928403,0.7427868206772015,0.3206539855347282,-0.4403443966682595,52.06
2022-09-29 19:00:00,2022,39,19,29,419,259.19,210.63350467890209,0.6401113561496077,0.3141422414090871,-0.427359071297626,270.08
2022-09-29 20:00:00,2022,39,20,29,420,148.92000000000002,132.61129722110886,0.4865839219820267,0.2927579170955999,-0.4170071450327378,127.81
2022-09-29 21:00:00,2022,39,21,29,421,86.79,63.75204899417893,0.3838620478481387,0.2749653193367531,-0.4000811977683957,249.49
2022-09-30 12:00:00,2022,39,12,30,512,0.0,0.0,0.6679782040887267,0.5053557117102957,-0.6221801246175667,0.0
2022-09-30 13:00:00,2022,39,13,30,513,52.72,50.1740725138198,0.729782507040309,0.3396610522005701,-0.6120959804457573,9.03
2022-09-30 14:00:00,2022,39,14,30,514,79.73,39.92849767679943,0.7955154570155001,0.1722371662446971,-0.6024849973454862,86.38
2022-09-30 15:00:00,2022,39,15,30,515,187.93,145.25789599593645,0.8606929774400078,0.0004831324065636,-0.5720056525176688,92.24
2022-09-30 16:00:00,2022,39,16,30,516,84.85,95.37330087441347,0.8315133254966177,0.0542972303708455,-0.5294147564580274,125.11
2022-09-30 17:00:00,2022,39,17,30,517,386.84,203.06085698907197,0.8039693756378714,0.1176352844443416,-0.4702452319976337,82.8
2022-09-30 18:00:00,2022,39,18,30,518,116.68,78.85969661847497,0.7733245920804214,0.1789727262692676,-0.4116360386203159,156.62
2022-09-30 19:00:00,2022,39,19,30,519,187.88,181.7945798043061,0.846562523484716,0.1134381691074729,-0.4017192261074652,296.37
2022-09-30 20:00:00,2022,39,20,30,520,260.5,257.25010242917466,0.8677234727343568,0.0453013048581847,-0.3901994521766896,403.01
2022-09-30 21:00:00,2022,39,21,30,521,104.57,76.95823571225633,0.939496272524592,-0.0127099084429656,-0.3750850627518545,106.52
2022-10-01 12:00:00,2022,39,12,1,612,80.63,77.3389373874654,0.1518048157764275,0.2982117437538359,-0.4362072480331692,67.17
2022-10-01 13:00:00,2022,39,13,1,613,298.89,163.21446779232508,0.03718994696201,0.2452359561522705,-0.3161753792928334,97.11
2022-10-01 14:00:00,2022,39,14,1,614,56.37,167.50809101078414,0.1202825120995299,0.2755525052660523,-0.3826116472809507,180.58
2022-10-01 15:00:00,2022,39,15,1,615,214.06,183.8246150265642,0.041501298636122,0.2389242685760448,-0.2741549457866336,191.46
2022-10-01 16:00:00,2022,39,16,1,616,180.95,210.5717136765558,-0.0967993628844108,0.0808235813602424,-0.0800120795062259,73.13
2022-10-01 17:00:00,2022,39,17,1,617,158.55,249.29715034485304,-0.0128081814875776,0.0025535895343403,-0.0819289365187742,53.08
2022-10-01 18:00:00,2022,39,18,1,618,175.14,296.5782763424009,0.0618937426869805,-0.0918201114367646,-0.0822466905633503,389.39
2022-10-01 19:00:00,2022,39,19,1,619,95.92,259.43351913913693,0.1682383486434047,-0.0547383509435383,-0.1732878872789537,239.6
2022-10-01 20:00:00,2022,39,20,1,620,192.65,266.3141304344071,0.3404124072416129,-0.0321737863854503,-0.2740000489971517,101.98
2022-10-01 21:00:00,2022,39,21,1,621,93.53,212.01210943211825,0.4517849863963581,0.0020267904868668,-0.3638572028406112,290.57
2022-10-02 12:00:00,2022,39,12,2,712,14.86,62.73365427064765,0.3343521118969074,0.0694601694731824,-0.2747134414601591,119.11
2022-10-02 13:00:00,2022,39,13,2,713,15.61,127.23926120171149,0.2342992200991278,0.0836193804262445,-0.2736581984280064,176.12
2022-10-02 14:00:00,2022,39,14,2,714,55.14,211.3470776261225,0.1983632142460514,0.1174334005240987,-0.2703605027569599,146.1
2022-10-02 15:00:00,2022,39,15,2,715,199.5,269.4143725136464,0.1064388280336606,0.1241175228109611,-0.2514286480903328,323.4
2022-10-02 16:00:00,2022,39,16,2,716,109.5,222.3515387408491,0.1268848709037026,0.1472513130715935,-0.2383279390630561,377.28
2022-10-02 17:00:00,2022,39,17,2,717,125.85,301.1079683169268,0.1465709884339048,0.1358206724977635,-0.2108802037438155,270.54
2022-10-02 18:00:00,2022,39,18,2,718,247.29,344.47076370323515,0.1725934839257327,0.114431456628553,-0.1941828853775963,148.55
2022-10-02 19:00:00,2022,39,19,2,719,194.89,388.5942669983618,0.0311867469194634,0.0207741312958664,-0.0492800139482239,421.72
2022-10-02 20:00:00,2022,39,20,2,720,72.68,291.4986552505988,0.1935184391572038,0.0697675851821754,-0.1977737351383875,347.88
2022-10-02 21:00:00,2022,39,21,2,721,43.92,244.71632113754785,0.1394202663452731,0.0075272895000697,-0.1332529298250504,280.96
2022-10-03 12:00:00,2022,40,12,3,112,108.46,56.00870535196926,0.120876680968717,0.0451940432644477,-0.3057379457892442,96.95
2022-10-03 13:00:00,2022,40,13,3,113,57.67,96.05508319074204,0.1764536249127003,-0.0311088630043884,-0.1990200236251609,72.91
2022-10-03 14:00:00,2022,40,14,3,114,76.64,131.02186642651392,0.403793509895579,-0.002534000294744,-0.2979029702743049,230.39
2022-10-03 15:00:00,2022,40,15,3,115,36.620000000000005,147.20946392304575,0.6892429774701015,0.0289136285037443,-0.38900810958275,265.15
2022-10-03 16:00:00,2022,40,16,3,116,88.80000000000001,147.70004944626453,0.5796480402555868,0.0467043486736653,-0.3570098203892028,393.85
2022-10-03 17:00:00,2022,40,17,3,117,112.33,188.93538338889056,0.4051987160141063,0.0549074402642695,-0.2976986195021487,262.75
2022-10-03 18:00:00,2022,40,18,3,118,182.23,215.5226525152627,0.2924027623077795,0.0769712235851685,-0.2491677523469642,526.61
2022-10-03 19:00:00,2022,40,19,3,119,124.45,241.61497820554905,0.2529787359769457,-0.0112495936327856,-0.0996159673275627,346.56
2022-10-03 20:00:00,2022,40,20,3,120,71.77,209.0715566795644,0.2623826351921302,-0.0850422830981857,0.048993253599644,303.57
2022-10-03 21:00:00,2022,40,21,3,121,11.21,139.88144972637295,0.2223526843225552,-0.1716386428699661,0.2018295766662977,33.56
2022-10-04 12:00:00,2022,40,12,4,212,166.46,45.98505595423022,-0.5913053743383531,0.4420610385959961,0.1964036245024258,0.0
2022-10-04 13:00:00,2022,40,13,4,213,192.27,99.59955485681924,-0.1460327632040458,0.649896909676347,-0.2198187385723589,112.86
2022-10-04 14:00:00,2022,40,14,4,214,166.6,107.1894390950866,-0.1476211043213292,0.6399354249119179,-0.2020549417589473,101.88
2022-10-04 15:00:00,2022,40,15,4,215,67.11,141.85917591731803,-0.5960744830719663,0.429412043264349,0.2567403049920075,29.67
