date,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,revenue
2022-07-22 20:00:00,20,22,520,6552.360637713029,949.5547003848268,988.595537539396,0.4470515890760744,-0.0978118912309017,0.1182626016312529,1467.862640383256
2022-07-22 21:00:00,21,22,521,6552.360637713029,1084.8166182360794,1091.9411215619148,0.532704176312148,-0.1560813372185931,0.1919768505266543,930.0461792193512
2022-07-22 22:00:00,22,22,522,6552.360637713029,581.2360009424331,498.628625540444,0.5362403571605352,-0.1849512041417227,0.2115170651377669,465.8407288148904
2022-07-22 23:00:00,23,22,523,6552.360637713029,55.79871200816776,173.2346726754444,0.5401599713635691,-0.206552726766714,0.2323954202086496,80.32317599937171
2022-07-23 12:00:00,12,23,612,6565.185659310453,168.73007146783948,131.57087380791663,0.4428076379403129,0.5815015030554173,0.2357263449151019,270.1629623812142
2022-07-23 13:00:00,13,23,613,6565.185659310453,433.0903950365193,315.16210814089925,0.4299566466359124,0.5983356318485789,0.2321233803471252,628.4610853687269
2022-07-23 14:00:00,14,23,614,6565.185659310453,419.6874263724181,402.3321840354988,0.4162556992997254,0.5997192265233288,0.224795403710198,380.8925626325296
2022-07-23 15:00:00,15,23,615,6565.185659310453,527.2912903479148,359.63310338911384,0.3998897471846132,0.6109114281546879,0.217877481000525,131.2231995601979
2022-07-23 16:00:00,16,23,616,6565.185659310453,591.4650907091808,400.08750216472697,0.4218586377030642,0.6243062062260145,0.233112100128262,629.516217702034
2022-07-23 17:00:00,17,23,617,6565.185659310453,331.46469802874424,560.3102970575691,0.4427996026221598,0.6330656741989104,0.2486788068110828,745.4343045629466
2022-07-23 18:00:00,18,23,618,6565.185659310453,1501.696379486374,738.3703716231564,0.4590143486090259,0.6417466865099534,0.2600324147882294,770.6019791094008
2022-07-23 19:00:00,19,23,619,6565.185659310453,880.5933401397942,903.9352020712452,0.5098315164077666,0.3796449385896386,0.255601001707908,1172.6392052147962
2022-07-23 20:00:00,20,23,620,6565.185659310453,894.733762663944,916.5423413914118,0.5710117069051011,0.1230398025244644,0.2593081278836773,1023.4485195947536
2022-07-23 21:00:00,21,23,621,6565.185659310453,561.7844184402734,776.3488093021217,0.6299579332369052,-0.1386127118635952,0.2639312165808666,799.2023089609676
2022-07-23 22:00:00,22,23,622,6565.185659310453,202.73250608654675,426.42686188470367,0.5837298863047112,-0.1200893726577406,0.2555051512127941,1083.417105159821
2022-07-23 23:00:00,23,23,623,6565.185659310453,51.91628053090395,162.6425663800982,0.5344179191751992,-0.1220639458931832,0.2442504358495862,40.89648943689625
2022-07-24 12:00:00,12,24,712,6781.973847482918,484.9760464933637,164.4539464314803,0.612076232731972,0.3742851823658914,0.2830294027164682,251.0457080028273
2022-07-24 13:00:00,13,24,713,6781.973847482918,437.2532003455588,303.2743592247128,0.6187474941649587,0.3775623571268009,0.2843965471203609,371.67870886672426
2022-07-24 14:00:00,14,24,714,6781.973847482918,596.477656483154,358.9515139313905,0.6203967039504056,0.3680276586746926,0.2826974966664191,360.3165004319485
2022-07-24 15:00:00,15,24,715,6781.973847482918,801.6319798947616,458.7907067322999,0.6182912552198344,0.3710850428684862,0.2778728183628327,492.9242912118118
2022-07-24 16:00:00,16,24,716,6781.973847482918,637.0780648708081,490.3272855083211,0.6330312169492063,0.3132927680205721,0.2721389682978918,363.6008796041781
2022-07-24 17:00:00,17,24,717,6781.973847482918,804.6351998743422,760.7720812136891,0.6504001195428589,0.2513859397326517,0.2690111502478337,937.0914160056544
2022-07-24 18:00:00,18,24,718,6781.973847482918,585.086782376502,772.4910965388844,0.6636277708800618,0.1923992585579266,0.2628496790505763,939.4671326474514
2022-07-24 19:00:00,19,24,719,6781.973847482918,1072.8104138851802,830.8118689696271,0.6462470781426457,0.1595918953689089,0.2685543457691439,989.9960731956334
2022-07-24 20:00:00,20,24,720,6781.973847482918,810.4354826042567,647.2342771605216,0.6273540750130603,0.1255901258530802,0.2734243342755313,1294.0795570564674
2022-07-24 21:00:00,21,24,721,6781.973847482918,499.21212597188406,346.82500025332627,0.6039087022988613,0.0893622641790756,0.2759607674294461,627.8327966700699
2022-07-24 22:00:00,22,24,722,6781.973847482918,52.37689468310688,125.44552027694752,0.5897158498287085,0.0997680539610331,0.28953747457914,41.46155658525092
2022-07-25 12:00:00,12,25,112,4971.510248959396,184.37956491007617,155.86457987753855,0.139621098700406,0.4701072103906755,-0.0347547091140237,260.6879761250294
2022-07-25 13:00:00,13,25,113,4971.510248959396,466.0052619178512,261.0823104413303,0.0299559218637439,0.4439271714213899,-0.1145168076677971,408.1064949344224
2022-07-25 14:00:00,14,25,114,4971.510248959396,229.92539071703447,220.08747443808568,-0.0783274268103922,0.4141885474678963,-0.1914822297883087,237.308568287128
2022-07-25 15:00:00,15,25,115,4971.510248959396,115.35301971255792,173.74357580825944,-0.1854523676555293,0.3938382249238523,-0.2709203003311465,159.43493285164533
2022-07-25 16:00:00,16,25,116,4971.510248959396,214.6481583287521,208.1909308306857,-0.2159572187707581,0.4103852481821202,-0.2920996989059818,340.4928139480091
2022-07-25 17:00:00,17,25,117,4971.510248959396,434.6383413178355,347.21318568997714,-0.2436154372496163,0.4198169673098778,-0.3163271579267225,543.3998272206079
2022-07-25 18:00:00,18,25,118,4971.510248959396,526.284457708317,529.23062421385,-0.2607912086166741,0.4388098732934373,-0.328768664547548,534.0685620042409
2022-07-25 19:00:00,19,25,119,4971.510248959396,702.2327809628524,615.2583240112493,-0.0759436654259603,0.4406169307455815,-0.1698824520737393,1121.5043587528469
2022-07-25 20:00:00,20,25,120,4971.510248959396,763.8184245660881,659.0019652759418,0.1230183945763903,0.4481868449781579,-0.0026299396069623,1023.9511505536794
2022-07-25 21:00:00,21,25,121,4971.510248959396,1300.7052540642426,615.4199788463458,0.31695318337586,0.4489204257221214,0.1612582241220312,247.59954449069343
2022-07-25 22:00:00,22,25,122,4971.510248959396,33.51959475378936,143.36205505333174,0.2558712429038728,0.38394782415394,0.1250484304380468,326.3781512605042
2022-07-26 12:00:00,12,26,212,4462.582266551481,76.11364171836959,184.1997822400099,-0.1541395156582797,0.4032773642950666,-0.2308393271629933,162.5583130448441
2022-07-26 13:00:00,13,26,213,4462.582266551481,192.72520223042488,258.91209417778174,-0.1222314606658907,0.4285793460101545,-0.1959921479452382,442.1931202387497
2022-07-26 14:00:00,14,26,214,4462.582266551481,118.4693316578968,155.93842861095322,-0.0901951034150763,0.4654788898475798,-0.1570651018294447,257.26144663472866
2022-07-26 15:00:00,15,26,215,4462.582266551481,127.3977067462499,152.938129127395,-0.0578121468044199,0.4953911128931049,-0.1209031066845901,190.00510484567656
2022-07-26 16:00:00,16,26,216,4462.582266551481,248.9688211733292,202.3790822315356,-0.1527015991592071,0.4956386346242705,-0.190459612992519,226.6308018534517
2022-07-26 17:00:00,17,26,217,4462.582266551481,325.0938506243619,358.50287420711464,-0.2448029640319862,0.5036506512455682,-0.2559108458018989,439.6995994659546
2022-07-26 18:00:00,18,26,218,4462.582266551481,353.9872771538522,424.8631378165139,-0.3358617005755216,0.5022712931388351,-0.3226302772191554,586.6115605120552
2022-07-26 19:00:00,19,26,219,4462.582266551481,1003.68766198068,642.3948659803885,-0.3698550751606163,0.5089414986747489,-0.3300692889509072,1264.6913531767848
2022-07-26 20:00:00,20,26,220,4462.582266551481,745.0051048456766,721.1026056805144,-0.4019071538925138,0.4950673374111896,-0.3349903978428198,766.0661273855336
2022-07-26 21:00:00,21,26,221,4462.582266551481,750.797141286421,559.0283724042073,-0.4274248705847029,0.4951994556874587,-0.3367792396721609,757.1298986884473
2022-07-26 22:00:00,22,26,222,4462.582266551481,520.3365271342182,225.16688135834613,-0.1028598199667846,0.2230438503489618,-0.1426461671231613,4.317757009345795
2022-07-27 12:00:00,12,27,312,4868.661195319249,404.4455352234352,188.17705815607155,0.5960282634715235,-0.1320957356778375,0.187387593038063,197.1793764234665
2022-07-27 13:00:00,13,27,313,4868.661195319249,300.33770517552813,229.8824095460862,0.5862944654485021,-0.1200100938109761,0.1814609322602862,390.4837822979659
2022-07-27 14:00:00,14,27,314,4868.661195319249,240.7480562318385,234.48387407902885,0.5784532517865117,-0.1018652925537338,0.1786331624633693,191.01193748527447
2022-07-27 15:00:00,15,27,315,4868.661195319249,212.43776015078927,183.96792782625764,0.5679830972602402,-0.0796059378564854,0.1740982800249076,154.72512369433755
2022-07-27 16:00:00,16,27,316,4868.661195319249,327.69559412550063,256.36738452273903,0.5051848085557187,-0.0906286180955632,0.1252801351275369,400.67776643367625
2022-07-27 17:00:00,17,27,317,4868.661195319249,429.9866488651536,358.9230764090721,0.4478961206945264,-0.1051386564644366,0.0832742283748659,438.8057017199403
2022-07-27 18:00:00,18,27,318,4868.661195319249,403.85769260975417,494.96280272879176,0.38255759599848,-0.1219910531287556,0.0342217293945017,476.8777978481112
2022-07-27 19:00:00,19,27,319,4868.661195319249,695.300793214482,595.1263113813995,0.4346952982405651,-0.1429524981915228,0.0898225042009948,1127.9235058509385
