date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1
2022-11-29 17:00:00,2022,48,17,29,217,169.05,83.95333333333333,0.7403085439844093,0.32301836353562846,-0.39826293401215684
2022-11-29 18:00:00,2022,48,18,29,218,257.1,223.3466666666667,0.8052714647002652,0.30796730560366953,-0.39403488574866175
2022-11-29 19:00:00,2022,48,19,29,219,161.98,151.8166666666667,0.7466452708545636,0.3222145133271431,-0.39173082559516675
2022-11-29 20:00:00,2022,48,20,29,220,113.54,83.03333333333335,0.7414493179242359,0.3153247424127703,-0.39302895840391994
2022-11-29 21:00:00,2022,48,21,29,221,142.81,104.92999999999999,0.6830573529743603,0.3316432865696632,-0.3946912855419973
2022-11-30 12:00:00,2022,48,12,30,312,69.28999999999999,90.66666666666667,-0.08847059415009867,0.26768584738520634,-0.125234271831454
2022-11-30 13:00:00,2022,48,13,30,313,0.0,60.97666666666665,0.012768353098697605,0.2968931018377869,-0.20023705568017408
2022-11-30 14:00:00,2022,48,14,30,314,84.0,103.77,0.12090833854698181,0.3292973885388721,-0.28163375293592047
2022-11-30 15:00:00,2022,48,15,30,315,117.8,99.36,0.22685405833924172,0.35336464792170197,-0.35833565610971935
2022-11-30 16:00:00,2022,48,16,30,316,65.03,83.69,0.2625243389575459,0.2805486992141866,-0.3699757215169069
2022-11-30 17:00:00,2022,48,17,30,317,192.81,159.4633333333333,0.2969868558801314,0.19374620643737855,-0.3769194820903867
2022-11-30 18:00:00,2022,48,18,30,318,209.79000000000002,145.39333333333335,0.332829337479549,0.11914394655243346,-0.3834242963551084
2022-11-30 19:00:00,2022,48,19,30,319,49.73,142.27,0.4674084051113797,0.09665956714578607,-0.35834595220277116
2022-11-30 20:00:00,2022,48,20,30,320,159.32,125.03666666666665,0.5436535464941677,0.07180965071319034,-0.3299538767347245
2022-11-30 21:00:00,2022,48,21,30,321,21.74,42.27,0.6847066652976274,0.04526650922670552,-0.31143511779995464
2022-12-01 12:00:00,2022,48,12,1,412,0.0,33.74000000000001,-0.17146667506736607,0.23069039705898028,-0.040983133474195396
2022-12-01 13:00:00,2022,48,13,1,413,61.73,31.849999999999998,-0.10043502914529287,0.2517739353873267,-0.08888439540577696
2022-12-01 14:00:00,2022,48,14,1,414,26.97,16.599999999999998,-0.03393945829573709,0.2628946231339256,-0.1331571418490946
2022-12-01 15:00:00,2022,48,15,1,415,80.8,39.98999999999999,0.04218218873936992,0.284954625452212,-0.18813255080039196
2022-12-01 16:00:00,2022,48,16,1,416,153.9,102.10999999999999,0.20804381286046278,0.16734470744421803,-0.16168804535333467
2022-12-01 17:00:00,2022,48,17,1,417,38.14,79.40999999999997,0.31592743093343295,0.03841930022807882,-0.13060669421042304
2022-12-01 18:00:00,2022,48,18,1,418,221.39,94.95000000000003,0.4849049046091102,-0.06374010417838596,-0.10429846504146756
2022-12-01 19:00:00,2022,48,19,1,419,342.11,85.88999999999999,0.4622548775444378,-0.08448425187068638,-0.07999520088974216
2022-12-01 20:00:00,2022,48,20,1,420,133.21,36.059999999999974,0.4406884012124824,-0.11163451504035277,-0.061838024763296445
