date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,revenue
2023-03-18 23:00:00,2023,11,23,18,623,8624.79,22.83,79.26559257088677,0.1132371776539233,-0.2001505205424723,0.0506964126023811,1.0,0.0
2023-03-19 12:00:00,2023,11,12,19,712,7499.78,642.45,281.37087165066583,-0.2471651997771754,-0.0919002427470662,-0.241684799797967,1.0,374.4
2023-03-19 13:00:00,2023,11,13,19,713,7499.78,396.65,431.45616725565554,-0.3150691202753214,-0.0284496326422844,-0.2807277340330553,1.0,249.14
2023-03-19 14:00:00,2023,11,14,19,714,7499.78,454.54,459.08155584320576,-0.1971332318483401,0.0045330271648619,-0.1895466721621463,1.0,421.46
2023-03-19 15:00:00,2023,11,15,19,715,7499.78,533.18,516.4953329816093,-0.1015074229903028,-0.0058882073966904,-0.122451171121855,1.0,449.32
2023-03-19 16:00:00,2023,11,16,19,716,7499.78,602.57,604.3198777803844,-0.0814995838905216,-0.0332745390052868,-0.1048619009401956,1.0,546.64
2023-03-19 17:00:00,2023,11,17,19,717,7499.78,742.89,704.3538934013434,0.2644264791317401,-0.0353155455294233,0.1564276651890986,1.0,1060.87
2023-03-19 18:00:00,2023,11,18,19,718,7499.78,1246.22,888.6278235767371,0.2711315835052252,-0.0787352920371216,0.1684804790201403,1.0,1131.59
2023-03-19 19:00:00,2023,11,19,19,719,7499.78,1034.69,764.1210998652299,0.2453415078239846,-0.1442578892777672,0.1377189727954216,1.0,1016.85
2023-03-19 20:00:00,2023,11,20,19,720,7499.78,1399.45,569.5276821103837,0.2251681872362772,-0.2134957134413877,0.1077646850319117,1.0,362.35
2023-03-19 21:00:00,2023,11,21,19,721,7499.78,367.17,255.7349123666943,0.2154516470555047,-0.2118290343092576,0.0999149539771013,1.0,114.87
2023-03-19 22:00:00,2023,11,22,19,722,7499.78,79.97,46.84814108177255,0.1435939755169392,-0.2100282001184796,0.0592732052840453,1.0,0.0
2023-03-20 12:00:00,2023,12,12,20,112,5811.29,498.7,223.3739462369349,-0.0637547509626026,0.1233990039515745,-0.0522486702270425,1.0,441.3
2023-03-20 13:00:00,2023,12,13,20,113,5811.29,351.2,253.3258555267051,0.0887939362897308,0.1853208211388925,0.063867427183782,1.0,262.4
2023-03-20 14:00:00,2023,12,14,20,114,5811.29,111.92,167.63005072742718,0.2954315368141607,0.2245904566423548,0.2154176295176766,1.0,280.45
2023-03-20 15:00:00,2023,12,15,20,115,5811.29,124.77,187.2751152654012,0.2566903295164126,0.2343241330155413,0.1899725274935119,1.0,218.29
2023-03-20 16:00:00,2023,12,16,20,116,5811.29,242.92,183.4815231616976,0.2096019573381912,0.231172561405842,0.1648694773874116,1.0,186.16
2023-03-20 17:00:00,2023,12,17,20,117,5811.29,495.33,394.38363146383386,0.2041675053278744,0.2038215027852322,0.1648093444581408,1.0,240.78
2023-03-20 18:00:00,2023,12,18,20,118,5811.29,855.26,489.40926052144727,0.0440051939355065,0.1644293562037301,0.0570482765198719,1.0,879.82
2023-03-20 19:00:00,2023,12,19,20,119,5811.29,1273.67,719.0107220190323,0.0430427206989218,0.1485902484568965,0.0488170995874697,1.0,1271.64
2023-03-20 20:00:00,2023,12,20,20,120,5811.29,1231.78,586.2257218744671,0.0648125411154991,0.115271265727527,0.0530924395925122,1.0,494.08
2023-03-20 21:00:00,2023,12,21,20,121,5811.29,464.5,256.98324194450475,0.0534112236033087,0.0989149670768137,0.0311127823347388,1.0,142.5
2023-03-20 22:00:00,2023,12,22,20,122,5811.29,161.24,68.48019961766714,0.1607037423792465,0.0746975911445248,0.114619300471222,1.0,49.69
2023-03-21 12:00:00,2023,12,12,21,212,5287.85,177.76,216.10214195537824,-0.3736492582560162,0.0714947129557135,-0.3146450818440225,1.0,565.37
2023-03-21 13:00:00,2023,12,13,21,213,5287.85,129.85,179.39782726032468,-0.2062050285995608,0.0502969275319702,-0.2002072108777004,1.0,312.11
2023-03-21 14:00:00,2023,12,14,21,214,5287.85,158.55,169.7238377809436,-0.4093238006889946,0.019476189475636,-0.3527265596607,1.0,124.13
2023-03-21 15:00:00,2023,12,15,21,215,5287.85,214.25,130.56703527127857,-0.4744674107127596,-0.0651589936501659,-0.3795852921234579,1.0,133.29
2023-03-21 16:00:00,2023,12,16,21,216,5287.85,170.21,198.40224425279965,-0.4720604923301773,-0.1539708773335327,-0.4040425302637613,1.0,283.87
2023-03-21 17:00:00,2023,12,17,21,217,5287.85,469.39,374.6696098655565,-0.4768259791447054,-0.2127139237133939,-0.4037281631540807,1.0,623.8
2023-03-21 18:00:00,2023,12,18,21,218,5287.85,800.33,414.97338887061966,-0.5203805665984255,-0.1841218123491426,-0.3881847490043391,1.0,949.49
2023-03-21 19:00:00,2023,12,19,21,219,5287.85,1469.89,651.5055982401879,-0.4875633784868075,-0.1482106257595754,-0.3885654778906599,1.0,1120.72
2023-03-21 20:00:00,2023,12,20,21,220,5287.85,1112.45,569.00146443744,-0.3910908530768068,-0.1122237965356917,-0.329183288753306,1.0,389.36
